,rating,标题,评论详情,review,sentiment
1508,5.0,无可挑剔的好游戏。无可挑剔的好游戏，无处不透漏着完美质感，不错的很棒的塔防游戏,"策略游戏很不错耐斯,好喝,好,好评策略游戏,很不错啦,比较喜欢哈,挺不错的,挺有意思的赤潮自走棋,","无可挑剔的好游戏。无可挑剔的好游戏，无处不透漏着完美质感，不错的很棒的塔防游戏，策略游戏很不错耐斯,好喝,好,好评策略游戏,很不错啦,比较喜欢哈,挺不错的,挺有意思的赤潮自走棋,",1
1509,5.0,比此类其他手游更策略手游好玩！这款手机小手游是我最喜欢玩的类手机手游,爽快得很特别好玩非常喜欢这个赤潮自走棋希望继续保持,比此类其他手游更策略手游好玩！这款手机小手游是我最喜欢玩的类手机手游，爽快得很特别好玩非常喜欢这个赤潮自走棋希望继续保持,1
1510,5.0,策略游戏的变化也非常大好玩的赤潮自走棋，5星好评!一开始觉得困难，现在也不会觉得复杂，容易上手,此款赤潮自走棋内容丰富画面清晰运行非常流畅各个细节处理到位里面鱼儿很多真是太好玩了值得推荐好朋友一起来玩,策略游戏的变化也非常大好玩的赤潮自走棋，5星好评!一开始觉得困难，现在也不会觉得复杂，容易上手，此款赤潮自走棋内容丰富画面清晰运行非常流畅各个细节处理到位里面鱼儿很多真是太好玩了值得推荐好朋友一起来玩,1
1511,5.0,"占用内存小,不错玩这个赤潮自走棋感觉非常不错.推荐给了我周围的朋友.他们都说非常好玩.在这里强烈推荐给大家",一直在用，习惯了懒得换别的很好的一个赤潮自走棋.爱不释手非常不错界面智能.音乐好听.玩着很开心.支持一个都给身边朋友介绍了嘿嘿.根本停不下来.可玩性很高.种类很多.选择性强,"占用内存小,不错玩这个赤潮自走棋感觉非常不错.推荐给了我周围的朋友.他们都说非常好玩.在这里强烈推荐给大家，一直在用，习惯了懒得换别的很好的一个赤潮自走棋.爱不释手非常不错界面智能.音乐好听.玩着很开心.支持一个都给身边朋友介绍了嘿嘿.根本停不下来.可玩性很高.种类很多.选择性强",1
1512,5.0,很好看，很喜欢武侠策略好玩娱乐策略挺好的,感觉还是不错的非常喜欢的赤潮自走棋!给家里的孩子玩!很不错的赤潮自走棋!从没玩过这么好玩的赤潮自走棋!超爱。,很好看，很喜欢武侠策略好玩娱乐策略挺好的，感觉还是不错的非常喜欢的赤潮自走棋!给家里的孩子玩!很不错的赤潮自走棋!从没玩过这么好玩的赤潮自走棋!超爱。,1
1514,5.0,游戏试玩体验真不错这款赤潮自走棋绝对值得拥有!我玩了之后!真的很喜欢!玩的真的很美!真的值得玩。,还不错；良心之做，用心再做游戏。很喜欢这种类型的塔防游戏！,游戏试玩体验真不错这款赤潮自走棋绝对值得拥有!我玩了之后!真的很喜欢!玩的真的很美!真的值得玩。，还不错；良心之做，用心再做游戏。很喜欢这种类型的塔防游戏！,1
1517,5.0,值得分享朋友推荐下载这款赤潮自走棋的，最近一直都在玩，这款赤潮自走棋非常好玩，运行流畅，画面很美，玩法很多，故事情节有趣，真心觉得好！,这个赤潮自走棋真心好玩新鲜又刺激上班再也不无聊了没事就玩玩有劲,值得分享朋友推荐下载这款赤潮自走棋的，最近一直都在玩，这款赤潮自走棋非常好玩，运行流畅，画面很美，玩法很多，故事情节有趣，真心觉得好！，这个赤潮自走棋真心好玩新鲜又刺激上班再也不无聊了没事就玩玩有劲,1
1518,5.0,"震撼的画面视觉很棒分享一款塔防游戏给大家,不信可以下载看看,绝对给力。",拥有辅助策略PK动作赤潮手游，超级好玩，轻松度过无聊时间，赞,"震撼的画面视觉很棒分享一款塔防游戏给大家,不信可以下载看看,绝对给力。，拥有辅助策略PK动作赤潮手游，超级好玩，轻松度过无聊时间，赞",1
1520,5.0,"可以这款软件怎么说呢~~~玩着还是挺不错的.趣味性很不错,",一款全新的好玩的赤潮自走棋又来了策略游戏这么的不错，真的是高手啊，玩了这么多，唯独这款，我的最爱呀~真的很不错，非常的,"可以这款软件怎么说呢~~~玩着还是挺不错的.趣味性很不错,，一款全新的好玩的赤潮自走棋又来了策略游戏这么的不错，真的是高手啊，玩了这么多，唯独这款，我的最爱呀~真的很不错，非常的",1
1523,5.0,"耐玩的这个赤潮自走棋自从下了这款赤潮自走棋,设计也很合理,这款赤潮自走棋离也没有无缘无故的乱收费情况,里面难易结合","喜欢pk的来,还不错的呀画风中国风,如果喜欢PK就更适合你啦,画质精美,任务繁多,功能也很强大","耐玩的这个赤潮自走棋自从下了这款赤潮自走棋,设计也很合理,这款赤潮自走棋离也没有无缘无故的乱收费情况,里面难易结合，喜欢pk的来,还不错的呀画风中国风,如果喜欢PK就更适合你啦,画质精美,任务繁多,功能也很强大",1
1524,5.0,真的很不错,"好玩好玩,人物场景都太美了很多事情可以做,内容好丰富","真的很不错，好玩好玩,人物场景都太美了很多事情可以做,内容好丰富",1
1526,5.0,不错,五月三十号更新后，第一名开始奉行不掉血政策，发牌员奉行除了野兽刺客啥也不给政策，明明快没血了第一第二连续干你政策，三十回话总棋子价值26金币，菜是原罪，但是也太频繁了，不存在运营，赌就完了??,不错，五月三十号更新后，第一名开始奉行不掉血政策，发牌员奉行除了野兽刺客啥也不给政策，明明快没血了第一第二连续干你政策，三十回话总棋子价值26金币，菜是原罪，但是也太频繁了，不存在运营，赌就完了??,1
1528,5.0,超好玩的赤潮自走棋出乎我的意料，真的太好玩了。这款塔防游戏特别精彩，玩法多样你值得拥有，极力推荐你们玩,"不错的好策略游戏,赞策略游戏赞策略游戏赞策略游戏,比较好,有意思,还不错,无聊的时候可以玩一玩,","超好玩的赤潮自走棋出乎我的意料，真的太好玩了。这款塔防游戏特别精彩，玩法多样你值得拥有，极力推荐你们玩，不错的好策略游戏,赞策略游戏赞策略游戏赞策略游戏,比较好,有意思,还不错,无聊的时候可以玩一玩,",1
1529,5.0,好玩棒棒哒网游ARPG类游戏宏大优美的地图场景，B真灵动的角色人物，ARPG游戏无线网游ARPG类游戏画面精美内容丰富的网游ARPG类游戏，控制简单铃木B真，玩家自由配置回合方,非常优秀画面非常不错啊。清晰背景音乐好听。里面的赤潮自走棋经典。希望多开发点这类策略游戏,好玩棒棒哒网游ARPG类游戏宏大优美的地图场景，B真灵动的角色人物，ARPG游戏无线网游ARPG类游戏画面精美内容丰富的网游ARPG类游戏，控制简单铃木B真，玩家自由配置回合方，非常优秀画面非常不错啊。清晰背景音乐好听。里面的赤潮自走棋经典。希望多开发点这类策略游戏,1
1530,5.0,还有调查很好的赤潮自走棋，客服也很热心，玩的很开心^^期待更多玩法~,"很经典的赤潮自走棋,而且还是策略为主题的赤潮自走棋，刚好我最喜欢的类型,会支持～～","还有调查很好的赤潮自走棋，客服也很热心，玩的很开心^^期待更多玩法~，很经典的赤潮自走棋,而且还是策略为主题的赤潮自走棋，刚好我最喜欢的类型,会支持～～",1
1531,5.0,很好玩的赤潮自走棋题材游戏。我看到上面的好评好玩，酒吧这个赤潮自走棋下载了，果然没让我失望啊。太好玩了，比其他同款3,"赞策略游戏不错的简洁实用特别好感觉这种类型的赤潮自走棋还是蛮有新意的算好用了,","很好玩的赤潮自走棋题材游戏。我看到上面的好评好玩，酒吧这个赤潮自走棋下载了，果然没让我失望啊。太好玩了，比其他同款3，赞策略游戏不错的简洁实用特别好感觉这种类型的赤潮自走棋还是蛮有新意的算好用了,",1
1532,5.0,"给力像中毒一样玩得开心,这个赤潮自走棋一玩不可收拾。",策略比较好玩！现在玩得还不是很熟练！没事就喜欢拿出来玩玩,"给力像中毒一样玩得开心,这个赤潮自走棋一玩不可收拾。，策略比较好玩！现在玩得还不是很熟练！没事就喜欢拿出来玩玩",1
1534,5.0,"策略真的是太好玩了,上手根本停不下来",模式也很新颖给人一种愉快的感觉画面音效都不错,"策略真的是太好玩了,上手根本停不下来，模式也很新颖给人一种愉快的感觉画面音效都不错",1
1535,5.0,"完美玩这款赤潮自走棋勾起小时候的记忆,值得下载",不错同类软件这款赤潮自走棋是最好玩的难度也在大大改进感觉更有挑战了玩起来根本停不下来会一直支持的,"完美玩这款赤潮自走棋勾起小时候的记忆,值得下载，不错同类软件这款赤潮自走棋是最好玩的难度也在大大改进感觉更有挑战了玩起来根本停不下来会一直支持的",1
1537,5.0,好玩，不错这款赤潮自走棋很好,"很耐玩的一款手机网游,总的来说很好玩,也很耐玩策略游戏做的可以观评价,还算不错的赤潮自走棋,满分,","好玩，不错这款赤潮自走棋很好，很耐玩的一款手机网游,总的来说很好玩,也很耐玩策略游戏做的可以观评价,还算不错的赤潮自走棋,满分,",1
1540,5.0,游戏不错，希望开发者不忘初心。,比其他策略更好玩!根本停不下来!打发时间的经典策略,游戏不错，希望开发者不忘初心。，比其他策略更好玩!根本停不下来!打发时间的经典策略,1
1542,5.0,喜欢策略,"赞策略游戏一个,挺有意思,好玩,,,哈哈,还不错哦,越玩越好玩,经典之作随时随地都可以上去看看,不错哦","喜欢策略，赞策略游戏一个,挺有意思,好玩,,,哈哈,还不错哦,越玩越好玩,经典之作随时随地都可以上去看看,不错哦",1
1546,5.0,超级好玩宿舍都在玩故事情节精彩生动，游戏风格独特场面美轮美奂，玩起来相当过瘾,好玩的呦！策略不错策略不错.牛B的创意.牛B的赤潮自走棋十模式.良心的运行方法.,超级好玩宿舍都在玩故事情节精彩生动，游戏风格独特场面美轮美奂，玩起来相当过瘾，好玩的呦！策略不错策略不错.牛B的创意.牛B的赤潮自走棋十模式.良心的运行方法.,1
1552,5.0,超经典这款赤潮自走棋是很好的赤潮自走棋！是我们这些在家无聊的好朋友。很喜欢在网上和朋友一起玩！推荐我朋友也玩玩,"这个赤潮自走棋不错一开始只是看到朋友玩然后我也开始玩了,发现很好,策略游戏非常好玩,策略游戏场景设计也非常华丽,","超经典这款赤潮自走棋是很好的赤潮自走棋！是我们这些在家无聊的好朋友。很喜欢在网上和朋友一起玩！推荐我朋友也玩玩，这个赤潮自走棋不错一开始只是看到朋友玩然后我也开始玩了,发现很好,策略游戏非常好玩,策略游戏场景设计也非常华丽,",1
1553,5.0,好这个赤潮自走棋很不错，能在无聊的时候打发时间，,这个赤潮自走棋是我玩的最好的一款赤潮自走棋！不仅刺激！而且画质好！值得大家去玩最近一直都在玩这款赤潮自走棋！感觉还不错！现在一玩起来都不想放手了。,好这个赤潮自走棋很不错，能在无聊的时候打发时间，，这个赤潮自走棋是我玩的最好的一款赤潮自走棋！不仅刺激！而且画质好！值得大家去玩最近一直都在玩这款赤潮自走棋！感觉还不错！现在一玩起来都不想放手了。,1
1554,5.0,特效技能酷炫非常经典的一款软件。玩了几天觉得很不错很好玩。强烈推荐一下,"挺好的赤潮自走棋,不错的赤潮自走棋,特别喜欢,很好玩我觉得挺好,有了这款赤潮自走棋再也不无聊了,","特效技能酷炫非常经典的一款软件。玩了几天觉得很不错很好玩。强烈推荐一下，挺好的赤潮自走棋,不错的赤潮自走棋,特别喜欢,很好玩我觉得挺好,有了这款赤潮自走棋再也不无聊了,",1
1557,5.0,好评好评！,简直好玩的不得了这简直是我玩过的赤潮自走棋中最好玩的一个一个字来说好,好评好评！，简直好玩的不得了这简直是我玩过的赤潮自走棋中最好玩的一个一个字来说好,1
1558,5.0,咦？,"手游最好玩的版本,在这个快餐的时代里,最好玩的就是这个版本的手游了用来打发零碎时间很不错,","咦？，手游最好玩的版本,在这个快餐的时代里,最好玩的就是这个版本的手游了用来打发零碎时间很不错,",1
1559,5.0,玩起来非常的棒非常的喜欢非常好玩的经典策略,这款赤潮自走棋真的很不错，至少我很喜欢，大家可以下载来玩玩哦，,玩起来非常的棒非常的喜欢非常好玩的经典策略，这款赤潮自走棋真的很不错，至少我很喜欢，大家可以下载来玩玩哦，,1
1560,5.0,我已经玩了好久了！,这个还真是我的最爱前几天无意中从app下载了这个赤潮自走棋真是一款良心大作只玩了一小会就被深深的迷住了小伙伴们快快来玩吧,我已经玩了好久了！，这个还真是我的最爱前几天无意中从app下载了这个赤潮自走棋真是一款良心大作只玩了一小会就被深深的迷住了小伙伴们快快来玩吧,1
1561,5.0,"哈图破路非常好玩的赤潮自走棋，个人感觉非常不错，玩起来真是爱不释手呢,","里面人物设定的种类很多,有玩下去的欲望,很好很强大","哈图破路非常好玩的赤潮自走棋，个人感觉非常不错，玩起来真是爱不释手呢,，里面人物设定的种类很多,有玩下去的欲望,很好很强大",1
1562,5.0,华丽的赤潮自走棋很好的塔防游戏。这是我最喜欢的塔防游戏。每天都要玩一玩。相当好玩的塔防游戏。。。,"白癜风八宝饭！你画面精美，节奏欢快，适合任何年龄玩的赤潮自走棋，真的挺不错的,","华丽的赤潮自走棋很好的塔防游戏。这是我最喜欢的塔防游戏。每天都要玩一玩。相当好玩的塔防游戏。。。，白癜风八宝饭！你画面精美，节奏欢快，适合任何年龄玩的赤潮自走棋，真的挺不错的,",1
1563,5.0,好用的APP，先试试看,画面精美，速度流畅，是很棒的一款赤潮自走棋手游。,好用的APP，先试试看，画面精美，速度流畅，是很棒的一款赤潮自走棋手游。,1
1565,5.0,策略不错,这款赤潮自走棋可以很好的打发时间真是不错啊非常好玩和朋友一起玩更过瘾画面感很好音乐也很带感赞一个,策略不错，这款赤潮自走棋可以很好的打发时间真是不错啊非常好玩和朋友一起玩更过瘾画面感很好音乐也很带感赞一个,1
1567,5.0,超赞的赤潮自走棋冒险策略游戏界面设计得很美十分的经典,很不错的一款赤潮自走棋~个人非常喜欢的风格~根本停不下来喜欢~给一万个赞。,超赞的赤潮自走棋冒险策略游戏界面设计得很美十分的经典，很不错的一款赤潮自走棋~个人非常喜欢的风格~根本停不下来喜欢~给一万个赞。,1
1569,5.0,新款一款吖很不错的赤潮自走棋!耐玩!无压力!随时随地可以玩!在空暇时打发时间最好的赤潮自走棋!超赞,这挂机游戏还蛮不错挂机的目前玩过最棒的策略游戏，音乐和效果堪称完美！,新款一款吖很不错的赤潮自走棋!耐玩!无压力!随时随地可以玩!在空暇时打发时间最好的赤潮自走棋!超赞，这挂机游戏还蛮不错挂机的目前玩过最棒的策略游戏，音乐和效果堪称完美！,1
1571,5.0,很喜欢的一款赤潮自走棋画面流畅而且细腻，背景音乐也问很好听，大家可以来试试，非常好玩。,非常好玩的一款赤潮自走棋画面丰富玩法多样很是喜欢策略大家一起玩吧赞,很喜欢的一款赤潮自走棋画面流畅而且细腻，背景音乐也问很好听，大家可以来试试，非常好玩。，非常好玩的一款赤潮自走棋画面丰富玩法多样很是喜欢策略大家一起玩吧赞,1
1572,5.0,策略游戏耐玩整体感觉很好~界面很美~挺有意思的赤潮自走棋~平时没事打发时间的最佳选择。画工精美~不是滥竽充数的作品.良心之作,"好玩,很棒,策略游戏不错这个赤潮自走棋真的是很好不需要花费人民币就能玩的很舒服,","策略游戏耐玩整体感觉很好~界面很美~挺有意思的赤潮自走棋~平时没事打发时间的最佳选择。画工精美~不是滥竽充数的作品.良心之作，好玩,很棒,策略游戏不错这个赤潮自走棋真的是很好不需要花费人民币就能玩的很舒服,",1
1573,5.0,这个赤潮自走棋策略游戏让人玩得这个赤潮自走棋真的是个好策略!下载了之后!我一玩就喜欢上了!天天玩!推荐大家来玩!,游戏不错，但掉线太严重,这个赤潮自走棋策略游戏让人玩得这个赤潮自走棋真的是个好策略!下载了之后!我一玩就喜欢上了!天天玩!推荐大家来玩!，游戏不错，但掉线太严重,1
1575,5.0,好的赤潮自走棋游戏良心游戏而且很军好玩很赞~画面也很漂亮我非常喜欢,好玩这款赤潮自走棋非常不错无论是画质还是音质都特别不错刚开始看见朋友在玩,好的赤潮自走棋游戏良心游戏而且很军好玩很赞~画面也很漂亮我非常喜欢，好玩这款赤潮自走棋非常不错无论是画质还是音质都特别不错刚开始看见朋友在玩,1
1576,5.0,超级给力我个人比较喜欢这种游戏!技能方面比较简单不会太繁多!比较适合手机端玩耍!平民也能玩的塔防游戏!简单的控制还有战斗画面也很好看,"感觉开发还是蛮良心的,懂得如何优雅的假装我们没在圈钱的圈钱福利很多很好,玩的感觉很不错","超级给力我个人比较喜欢这种游戏!技能方面比较简单不会太繁多!比较适合手机端玩耍!平民也能玩的塔防游戏!简单的控制还有战斗画面也很好看，感觉开发还是蛮良心的,懂得如何优雅的假装我们没在圈钱的圈钱福利很多很好,玩的感觉很不错",1
1577,5.0,很好脑洞很大很哟意思,简单容易上手同类的软件还是感觉这个是最好的大赞,很好脑洞很大很哟意思，简单容易上手同类的软件还是感觉这个是最好的大赞,1
1578,5.0,玩法很经典我喜欢的一款赤潮自走棋啊!非常给力的快来和我一起下载这款赤潮自走棋八的话,"不错,有点意思,看看持续可玩度如何真实感受,首先策略游戏品质有保证,其次玩法和互动也很好,不同于一般的赤潮自走棋无聊的刷体力","玩法很经典我喜欢的一款赤潮自走棋啊!非常给力的快来和我一起下载这款赤潮自走棋八的话，不错,有点意思,看看持续可玩度如何真实感受,首先策略游戏品质有保证,其次玩法和互动也很好,不同于一般的赤潮自走棋无聊的刷体力",1
1579,5.0,这款游戏蛮不错的不错，这款西方自走棋题材在我玩过的动作游戏中，画面90分，玩法80分，良心90分！,"手机策略游戏新玩法,很不错的赤潮自走棋,值得推荐,开发智商,打发时间这次更新后,更好玩了,可以获得更多的东西,非常好,","这款游戏蛮不错的不错，这款西方自走棋题材在我玩过的动作游戏中，画面90分，玩法80分，良心90分！，手机策略游戏新玩法,很不错的赤潮自走棋,值得推荐,开发智商,打发时间这次更新后,更好玩了,可以获得更多的东西,非常好,",1
1582,5.0,"玩了有半年了呢特别喜欢,玩的很过瘾,画面视觉很强,大家可以尝试一下很好玩的赤潮自走棋,内容丰富","很好玩,我感觉回到了从前很好玩不花钱也能,看脸和计划比花钱厉害的真的很良心,良心手游,","玩了有半年了呢特别喜欢,玩的很过瘾,画面视觉很强,大家可以尝试一下很好玩的赤潮自走棋,内容丰富，很好玩,我感觉回到了从前很好玩不花钱也能,看脸和计划比花钱厉害的真的很良心,良心手游,",1
1583,5.0,很棒千万不要错过~没有无线网也要玩~因为这么好的赤潮自走棋已经不多了下了才知道原来这么好玩~视觉真的很不错~话不多说~找人一起玩！真心不错不好玩不要钱,挺好的一款赤潮自走棋必须大赞一下还有许多的惊喜,很棒千万不要错过~没有无线网也要玩~因为这么好的赤潮自走棋已经不多了下了才知道原来这么好玩~视觉真的很不错~话不多说~找人一起玩！真心不错不好玩不要钱，挺好的一款赤潮自走棋必须大赞一下还有许多的惊喜,1
1584,5.0,很好的SLG策略游戏,目测这个赤潮自走棋将来绝对能火。画面风格挺好的，萌萌的感觉。这个赤潮自走棋用的还是很不错的推荐给别人了,很好的SLG策略游戏，目测这个赤潮自走棋将来绝对能火。画面风格挺好的，萌萌的感觉。这个赤潮自走棋用的还是很不错的推荐给别人了,1
1587,5.0,这款小游戏很不错！偶然发现，对于原本画面党的我来说纠结了一下，没想到好玩到简直梦幻策略停不下来的程度。,"我为策略游戏代言,是我喜欢的类型一款经久耐玩的赤潮自走棋,这个赤潮自走棋还不错挺有感觉的,","这款小游戏很不错！偶然发现，对于原本画面党的我来说纠结了一下，没想到好玩到简直梦幻策略停不下来的程度。，我为策略游戏代言,是我喜欢的类型一款经久耐玩的赤潮自走棋,这个赤潮自走棋还不错挺有感觉的,",1
1588,5.0,不错这款赤潮自走棋一定要推荐给大家比其他策略游戏更好玩更有趣任何时候地点都能玩,"很好玩的赤潮自走棋经典策略游戏,很好玩,,来赞策略游戏一个喜欢这策略游戏,赞策略游戏好玩一款非常好的赤潮自走棋,不错好玩的赤潮自走棋不错,好玩","不错这款赤潮自走棋一定要推荐给大家比其他策略游戏更好玩更有趣任何时候地点都能玩，很好玩的赤潮自走棋经典策略游戏,很好玩,,来赞策略游戏一个喜欢这策略游戏,赞策略游戏好玩一款非常好的赤潮自走棋,不错好玩的赤潮自走棋不错,好玩",1
1589,5.0,"不错这是一个非常好玩的赤潮自走棋,里面可以玩的很多,更有许多种玩法,好玩,刺激,值得推荐一下",有点意思的产品赞一个这个赤潮自走棋很好玩策略游戏画面做的非常好,"不错这是一个非常好玩的赤潮自走棋,里面可以玩的很多,更有许多种玩法,好玩,刺激,值得推荐一下，有点意思的产品赞一个这个赤潮自走棋很好玩策略游戏画面做的非常好",1
1590,5.0,给力的赤潮自走棋,策略游戏很棒玩着感觉相当不错了剧情好策略游戏结构精炼耐玩是王道啊国产良心作品感觉还不错,给力的赤潮自走棋，策略游戏很棒玩着感觉相当不错了剧情好策略游戏结构精炼耐玩是王道啊国产良心作品感觉还不错,1
1596,5.0,很好的一款app,给力的赤潮自走棋策略游戏网游策略火爆升级了~控制手感畅快~各式pvp人等你来体验~原汁原味经典设计~快来重拾旧时热血,很好的一款app，给力的赤潮自走棋策略游戏网游策略火爆升级了~控制手感畅快~各式pvp人等你来体验~原汁原味经典设计~快来重拾旧时热血,1
1602,5.0,极致战斗体验挺策略不错的塔防游戏。那么多字的评论没怎么看，下来玩后几天觉得确实还不错。,终于有个赤潮自走棋让我打发时间了。让我不无聊。好有趣！！,极致战斗体验挺策略不错的塔防游戏。那么多字的评论没怎么看，下来玩后几天觉得确实还不错。，终于有个赤潮自走棋让我打发时间了。让我不无聊。好有趣！！,1
1603,5.0,来咯挺不错的赤潮自走棋值得一玩~昨天下下来就忍不住玩了个通宵真心觉得可以画明风不错~值得一玩,画面很好,来咯挺不错的赤潮自走棋值得一玩~昨天下下来就忍不住玩了个通宵真心觉得可以画明风不错~值得一玩，画面很好,1
1605,5.0,来吧,良心作特别好玩的良心策略.现在终于更新新的版本了.祝策略游戏越办越好。是我玩过最好玩的.很有趣.上班一有空我就玩两把.真是爱不离手啊.打发时间.,来吧，良心作特别好玩的良心策略.现在终于更新新的版本了.祝策略游戏越办越好。是我玩过最好玩的.很有趣.上班一有空我就玩两把.真是爱不离手啊.打发时间.,1
1606,5.0,咦？,这是我下载过的最好玩的赤潮自走棋app了，一级级玩下去比出去逛街约会还有意思，很有挑战性，很有成就感，是休闲时光必备的app!,咦？，这是我下载过的最好玩的赤潮自走棋app了，一级级玩下去比出去逛街约会还有意思，很有挑战性，很有成就感，是休闲时光必备的app!,1
1607,5.0,你惊喜不断的塔防游戏爱这个塔防游戏~画面很精美~玩的时候也不卡~角色设定还是可以的故事情节很吸引人一起来玩吧,非常好玩推荐真是一个让人喜欢的不能放手的赤潮自走棋很有创意我很喜欢绚丽的画面上手特别简单流畅对大脑的开发也有好处强烈推荐给大家玩,你惊喜不断的塔防游戏爱这个塔防游戏~画面很精美~玩的时候也不卡~角色设定还是可以的故事情节很吸引人一起来玩吧，非常好玩推荐真是一个让人喜欢的不能放手的赤潮自走棋很有创意我很喜欢绚丽的画面上手特别简单流畅对大脑的开发也有好处强烈推荐给大家玩,1
1608,5.0,做得不错游戏不几错游戏不错~牛B的创意~牛B的塔防游戏模式~良心的运行方法~,很好玩的一款赤潮自走棋哟大力推荐,做得不错游戏不几错游戏不错~牛B的创意~牛B的塔防游戏模式~良心的运行方法~，很好玩的一款赤潮自走棋哟大力推荐,1
1609,5.0,不错策略手游,看到朋友下载玩我也下载了里面的赤潮自走棋真的是太棒了画面做的非常好音乐做得非常棒真的是要一款非常挑战智力的赤潮自走棋,不错策略手游，看到朋友下载玩我也下载了里面的赤潮自走棋真的是太棒了画面做的非常好音乐做得非常棒真的是要一款非常挑战智力的赤潮自走棋,1
1611,5.0,闪退,"这款赤潮自走棋不仅可以单人玩还可以联网和大家一起玩，非常的有意思，玩起来也不厌，而且策略做得很精美，是一款良心之作，值得推荐,","闪退，这款赤潮自走棋不仅可以单人玩还可以联网和大家一起玩，非常的有意思，玩起来也不厌，而且策略做得很精美，是一款良心之作，值得推荐,",1
1613,5.0,不错的赤潮自走棋，值得五星之前叫糖果萌萌消的时候就玩过，现在更有意思了，不错的赤潮自走棋游戏，大家可以玩一下,特喜欢在游戏中那种神话般的感觉，身临其境般的梦幻，特美。还有丰厚的任务礼包，太爽了,不错的赤潮自走棋，值得五星之前叫糖果萌萌消的时候就玩过，现在更有意思了，不错的赤潮自走棋游戏，大家可以玩一下，特喜欢在游戏中那种神话般的感觉，身临其境般的梦幻，特美。还有丰厚的任务礼包，太爽了,1
1614,5.0,非常好玩的赤潮自走棋很不错的一款的策略游戏，我每天玩的都不易乐乎，有时候一玩就是大半天，里面的画面很B真，赞一个！,"非常不错,非常完美真的良心好玩,有许多好玩的活动,可以结婚,跟朋友一起享受策略游戏的欢乐","非常好玩的赤潮自走棋很不错的一款的策略游戏，我每天玩的都不易乐乎，有时候一玩就是大半天，里面的画面很B真，赞一个！，非常不错,非常完美真的良心好玩,有许多好玩的活动,可以结婚,跟朋友一起享受策略游戏的欢乐",1
1615,5.0,太好玩的赤潮自走棋良心打造。画面效果很B真。非常吸引人。给力的动作策略，特别的好玩,"一玩就玩了一下午越玩越有意思根本停不下来,挺好玩的,就是战斗的画面闪眼睛","太好玩的赤潮自走棋良心打造。画面效果很B真。非常吸引人。给力的动作策略，特别的好玩，一玩就玩了一下午越玩越有意思根本停不下来,挺好玩的,就是战斗的画面闪眼睛",1
1617,5.0,"蛮好玩的神作策略游戏这个赤潮自走棋的应用比同类的优秀,策略游戏儿细节方面都比较好,值得推荐的好策略游戏。",不容错过的赤潮自走棋画面非常清晰内容特别丰富是我玩过最好玩的赤潮自走棋地铁里的首选强烈推荐,"蛮好玩的神作策略游戏这个赤潮自走棋的应用比同类的优秀,策略游戏儿细节方面都比较好,值得推荐的好策略游戏。，不容错过的赤潮自走棋画面非常清晰内容特别丰富是我玩过最好玩的赤潮自走棋地铁里的首选强烈推荐",1
1618,5.0,超喜欢这款赤潮自走棋很好的一款赤潮自走棋进入后匹配完成策略中支持互相消息语音沟通特别支持,值得一玩的赤潮自走棋！很久没遇到值得一玩的手游了！哦个人蛮喜欢的！还真的不错哦！,超喜欢这款赤潮自走棋很好的一款赤潮自走棋进入后匹配完成策略中支持互相消息语音沟通特别支持，值得一玩的赤潮自走棋！很久没遇到值得一玩的手游了！哦个人蛮喜欢的！还真的不错哦！,1
1620,5.0,这个游戏到头了,一款还不错的赤潮自走棋，真的是万年难遇的巨作。,这个游戏到头了，一款还不错的赤潮自走棋，真的是万年难遇的巨作。,1
1626,5.0,这款西方自走棋题材太好玩了同款赤潮自走棋中就喜欢玩这个赤潮自走棋。做的非常不错。值得一玩,"好玩,好,赞策略游戏赞策略游戏嗒,这款赤潮自走棋很好玩,快来玩吧真好玩,一起尖舞动起来,快来试试吧,","这款西方自走棋题材太好玩了同款赤潮自走棋中就喜欢玩这个赤潮自走棋。做的非常不错。值得一玩，好玩,好,赞策略游戏赞策略游戏嗒,这款赤潮自走棋很好玩,快来玩吧真好玩,一起尖舞动起来,快来试试吧,",1
1627,5.0,真的很好玩，根本停不下来,"我很喜欢玩这款赤潮自走棋,每次玩这个,都会上瘾,不错的选择,适合休闲娱乐,最爱的单机手机策略游戏,最喜欢玩的赤潮自走棋了,","真的很好玩，根本停不下来，我很喜欢玩这款赤潮自走棋,每次玩这个,都会上瘾,不错的选择,适合休闲娱乐,最爱的单机手机策略游戏,最喜欢玩的赤潮自走棋了,",1
1628,5.0,游戏画面唯美自走棋题材游戏画面唯美，故事情节很新颖，控制非常简单便捷，真是一款经典好玩的塔防游戏，推荐给大家！,我用过这个软件以后真的是特别特别的喜欢策略爱不释手真的根本停不下来还没用玩过好么好玩的东西,游戏画面唯美自走棋题材游戏画面唯美，故事情节很新颖，控制非常简单便捷，真是一款经典好玩的塔防游戏，推荐给大家！，我用过这个软件以后真的是特别特别的喜欢策略爱不释手真的根本停不下来还没用玩过好么好玩的东西,1
1630,5.0,"还不错,会有很不错的赤潮自走棋！效果也很好！没事的时候玩玩挺好的！尤其是火车上",奖上加奖进入策略游戏就是赢到爽爆年度盈利真金白银的刺激无极限,"还不错,会有很不错的赤潮自走棋！效果也很好！没事的时候玩玩挺好的！尤其是火车上，奖上加奖进入策略游戏就是赢到爽爆年度盈利真金白银的刺激无极限",1
